Taxon,Population
Tk_16,Tk
Tx_43,Tx
Tk_20,Tk
Tx_54,Tx
Tk_3,Tk
Tk_8,Tk
Tx_26,Tx
Tx_45,Tx
Ga_102,Ga
Ga_103,Ga
Ga_104,Ga
Ga_106,Ga
Ga_107,Ga
Ga_111,Ga
Ga_112,Ga
Ga_114,Ga
Ga_115,Ga
Ga_116,Ga
Ga_117,Ga
Ga_118,Ga
Ga_119,Ga
Ga_120,Ga
Ga_121,Ga
Ga_122,Ga
Ga_123,Ga
Ga_124,Ga
Ga_125,Ga
Ga_126,Ga
Ga_127,Ga
Ga_130,Ga
Ga_131,Ga
Ga_132,Ga
Ga_133,Ga
Ga_134,Ga
Ga_135,Ga
Ga_136,Ga
Ga_137,Ga
Ga_139,Ga
Ga_140,Ga
Tk_1,Tk
Tk_18,Tk
Tx_24,Tx
Tx_25,Tx
Tx_36,Tx
Tx_42,Tx
Tx_46,Tx
Tx_57,Tx
Tk_7,Tk
Tx_33,Tx
Tk_12,Tk
Tk_17,Tk
Tk_9,Tk
Tx_44,Tx
Tx_48,Tx
Tx_51,Tx
Tx_53,Tx
Ch_11,Ch
Ch_12,Ch
Ch_14,Ch
Ch_16,Ch
Ch_17,Ch
Ch_18,Ch
Ch_19,Ch
Ch_2,Ch
Ch_20,Ch
Ch_21,Ch
Ch_23,Ch
Ch_25,Ch
Ch_26,Ch
Ch_27,Ch
Ch_28,Ch
Ch_3,Ch
Ch_30,Ch
Ch_4,Ch
Ch_6,Ch
Ch_7,Ch
Ch_9,Ch
Tk_14,Tk
Tx_27,Tx
Tx_28,Tx
Tx_29,Tx
Tx_31,Tx
Tx_34,Tx
Tx_38,Tx
Tx_55,Tx
Ch_10,Ch
Tk_26,Tk
Tk_28,Tk
Tk_29,Tk
Tk_31,Tk
Tk_32,Tk
Tk_33,Tk
Tk_36,Tk
Tk_38,Tk
Tk_44,Tk
Tk_45,Tk
Tx_30,Tx
Tk_35,Tk
Tk_46,Tk
Tk_47,Tk
Tx_39,Tx
Tx_47,Tx
Tk_27,Tk
Tx_40,Tx
Tk_40,Tk
Tk_19,Tk
Tk_2,Tk
Tx_56,Tx
Tk_15,Tk
Tk_34,Tk
Bft_1,Bft
Bft_10,Bft
Bft_10_1,Bft
Bft_11,Bft
Bft_12,Bft
Bft_121,Bft
Bft_13,Bft
Bft_14,Bft
Bft_15,Bft
Bft_17,Bft
Bft_2,Bft
Bft_20,Bft
Bft_21,Bft
Bft_25,Bft
Bft_26,Bft
Bft_27,Bft
Bft_28,Bft
Bft_29,Bft
Bft_3,Bft
Bft_30,Bft
Bft_33,Bft
Bft_34,Bft
Bft_4,Bft
Bft_5,Bft
Bft_6,Bft
Bft_7,Bft
Bft_8,Bft
Bft_9,Bft
C_1,C
C_10,C
C_100,C
C_101,C
C_11,C
C_12,C
C_13,C
C_14,C
C_15,C
C_16,C
C_17,C
C_18,C
C_19,C
C_2,C
C_20,C
C_23,C
C_24,C
C_25,C
C_26,C
C_27,C
C_28,C
C_29,C
C_3,C
C_30,C
C_31,C
C_32,C
C_33,C
C_34,C
C_35,C
C_36,C
C_37,C
C_38,C
C_39,C
C_4,C
C_40,C
C_41,C
C_42,C
C_43,C
C_44,C
C_45,C
C_46,C
C_48,C
C_49,C
C_5,C
C_50,C
C_51,C
C_52,C
C_53,C
C_54,C
C_55,C
C_56,C
C_57,C
C_58,C
C_6,C
C_60,C
C_61,C
C_62,C
C_63,C
C_64,C
C_65,C
C_66,C
C_67,C
C_68,C
C_69,C
C_7,C
C_70,C
C_71,C
C_72,C
C_73,C
C_74,C
C_75,C
C_76,C
C_77,C
C_78,C
C_79,C
C_8,C
C_80,C
C_81,C
C_83,C
C_84,C
C_85,C
C_86,C
C_87,C
C_89,C
C_9,C
C_90,C
C_91,C
C_92,C
C_93,C
C_94,C
C_95,C
C_96,C
C_97,C
C_98,C
C_99,C
Mt_A1,Mt
Mt_A3,Mt
Mt_A4,Mt
Mt_A5,Mt
Mt_A7,Mt
Mt_A9,Mt
Mt_B1,Mt
Mt_B3,Mt
Mt_B4,Mt
Mt_B5,Mt
Mt_B7,Mt
Mt_B9,Mt
Mt_C1,Mt
Mt_C3,Mt
Mt_C4,Mt
Mt_C4f,Mt
Mt_C5,Mt
Mt_C5f,Mt
Mt_C6,Mt
Mt_C6f,Mt
Mt_C7,Mt
Mt_C7f,Mt
Mt_C8f,Mt
Mt_C9f,Mt
Mt_D1f,Mt
Mt_D2,Mt
Sardinia_7,Sardinia
Sardinia_6,Sardinia
Sardinia_4,Sardinia
Sardinia_2,Sardinia
Sardinia_1,Sardinia
